Alamosa,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/30/2016,1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.46,3.75,6.29,6.37,5.73,5.78,5.95,6.23,6.14,2.13,0.17,0.00,0.00,0.00,0.00,0.00
1/31/2016,1,31,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.46,4.44,6.63,6.60,5.88,6.01,6.22,6.54,6.14,2.13,0.17,0.00,0.00,0.00,0.00,0.00
2/1/2016,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.49,4.44,6.63,6.60,5.88,6.01,6.22,6.54,6.14,2.24,0.17,0.00,0.00,0.00,0.00,0.00
2/2/2016,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.49,4.44,6.63,6.60,5.88,6.01,6.22,6.54,6.14,2.32,0.17,0.00,0.00,0.00,0.00,0.00
2/3/2016,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.49,4.44,6.63,6.60,5.88,6.01,6.22,6.54,6.14,2.32,0.17,0.00,0.00,0.00,0.00,0.00
2/4/2016,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.49,4.44,6.63,6.60,5.88,6.01,6.22,6.54,6.14,2.32,0.17,0.00,0.00,0.00,0.00,0.00
2/5/2016,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.50,4.44,6.63,6.60,5.88,6.01,6.22,6.54,6.14,2.73,0.17,0.00,0.00,0.00,0.00,0.00
2/6/2016,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.56,4.44,6.63,6.60,5.88,6.01,6.22,6.54,5.65,2.73,0.21,0.00,0.00,0.00,0.00,0.00
2/7/2016,2,7,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.56,4.28,5.97,6.00,5.62,5.48,5.68,5.88,5.37,2.73,0.21,0.00,0.00,0.00,0.00,0.00
2/8/2016,2,8,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.60,4.41,6.12,6.00,5.62,5.50,5.73,5.94,5.49,2.77,0.22,0.00,0.00,0.00,0.00,0.00
2/9/2016,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.60,4.41,6.12,6.48,6.10,6.03,6.17,6.49,5.94,2.93,0.22,0.00,0.00,0.00,0.00,0.00
2/10/2016,2,10,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.69,4.83,6.61,6.48,6.10,6.03,6.17,6.49,5.94,2.93,0.22,0.00,0.00,0.00,0.00,0.00
2/11/2016,2,11,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.69,4.83,6.61,6.48,6.10,6.03,6.17,6.49,5.94,2.93,0.22,0.00,0.00,0.00,0.00,0.00
2/12/2016,2,12,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.69,4.83,6.61,6.48,6.10,6.03,6.17,6.49,5.94,2.93,0.26,0.00,0.00,0.00,0.00,0.00
2/13/2016,2,13,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.78,5.23,6.79,6.68,6.42,6.28,6.48,6.67,6.17,3.32,0.32,0.00,0.00,0.00,0.00,0.00
2/14/2016,2,14,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.82,5.35,6.79,6.68,6.42,6.28,6.48,6.67,6.17,3.42,0.36,0.00,0.00,0.00,0.00,0.00
