SUNE2,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/27/2016,1,27,0,0,0,0,0,0,0,0,1.41096139,6.19387722,7.234656811,7.004868031,6.600103378,6.40721941,6.669462204,6.995125294,6.515945435,2.530681133,0.009491369,0,0,0,0,0
1/28/2016,1,28,0,0,0,0,0,0,0,0.003079973,1.41096139,6.19387722,7.234656811,7.004868031,6.600103378,6.40721941,6.669462204,7.00443697,6.515945435,2.709386826,0.027760379,0,0,0,0,0
1/29/2016,1,29,0,0,0,0,0,0,0,0.003079973,1.41096139,6.19387722,7.210978508,6.946201801,6.58417511,6.515735149,6.66230917,7.00443697,6.515945435,2.709386826,0.027760379,0,0,0,0,0
1/30/2016,1,30,0,0,0,0,0,0,0,0.003079973,1.504012704,6.796928883,7.210978508,6.946201801,6.58417511,6.515735149,6.66230917,7.00443697,6.515945435,2.709386826,0.027760379,0,0,0,0,0
1/31/2016,1,31,0,0,0,0,0,0,0,0.003079973,1.738129854,6.796928883,7.847708225,7.55224371,7.142861366,7.018028259,7.26326561,7.604614735,7.193187714,3.367899895,0.055249184,0,0,0,0,0
2/1/2016,2,1,0,0,0,0,0,0,0,0.003079973,1.738129854,6.796928883,7.847708225,7.55224371,7.142861366,7.018028259,7.26326561,7.604614735,7.193187714,3.367899895,0.055249184,0,0,0,0,0
2/2/2016,2,2,0,0,0,0,0,0,0,0.003079973,1.749969363,6.796928883,7.847708225,7.55224371,7.142861366,7.018028259,7.26326561,7.604614735,7.193187714,3.382553577,0.070122339,0,0,0,0,0
2/3/2016,2,3,0,0,0,0,0,0,0,0.009467355,1.749969363,6.796928883,7.847708225,7.55224371,7.142861366,7.018028259,7.26326561,7.604614735,7.193187714,3.382553577,0.092024475,0,0,0,0,0
2/4/2016,2,4,0,0,0,0,0,0,0,0.009467355,1.749969363,6.796928883,7.847708225,7.55224371,7.142861366,7.018028259,7.26326561,7.604614735,7.193187714,3.382553577,0.092024475,0,0,0,0,0
2/5/2016,2,5,0,0,0,0,0,0,0,0.010302606,1.749969363,6.796928883,7.847708225,7.55224371,7.142861366,7.018028259,7.26326561,7.604614735,7.193187714,3.470435619,0.092024475,0,0,0,0,0
2/6/2016,2,6,0,0,0,0,0,0,0,0.010302606,1.936396956,6.731563091,7.847708225,7.55224371,7.142861366,7.018028259,7.26326561,7.604614735,7.193187714,3.48526907,0.104393974,0,0,0,0,0
2/7/2016,2,7,0,0,0,0,0,0,0,0.010302606,1.961233854,6.653003693,7.676604271,7.281393051,6.882741451,6.792023182,6.990169048,7.312046528,6.948709011,3.48526907,0.104393974,0,0,0,0,0
2/8/2016,2,8,0,0,0,0,0,0,0,0.010302606,1.981022,6.732165813,7.676604271,7.321606636,6.883666515,6.792023182,6.990169048,7.312046528,6.948709011,3.48526907,0.114762627,0,0,0,0,0
2/9/2016,2,9,0,0,0,0,0,0,0,0.020121958,1.981022,6.732165813,7.676604271,7.321606636,6.883666515,6.792023182,6.980955124,7.312046528,6.743694782,3.48526907,0.152977824,0,0,0,0,0
2/10/2016,2,10,0,0,0,0,0,0,0,0.020121958,1.981022,6.732165813,7.668562889,7.321606636,6.883666515,6.736017227,6.980955124,7.312046528,6.743694782,3.48526907,0.152977824,0,0,0,0,0
2/11/2016,2,11,0,0,0,0,0,0,0,0.020121958,2.290823221,6.732165813,7.668562889,7.321606636,7.405202389,6.88874197,7.287686348,7.554618359,7.270032883,3.48526907,0.15647009,0,0,0,0,0
2/12/2016,2,12,0,0,0,0,0,0,0,0.020121958,2.290823221,6.732165813,7.668562889,7.321606636,7.405202389,7.249331474,7.287686348,7.66402483,7.270032883,4.085851192,0.200913906,0,0,0,0,0
2/13/2016,2,13,0,0,0,0,0,0,0,0.020121958,2.290823221,7.493926048,8.279719353,7.599871159,7.460538387,7.349600315,7.287686348,7.66402483,7.270032883,4.452274323,0.231390789,0,0,0,0,0
2/14/2016,2,14,0,0,0,0,0,0,0,0.032984752,2.711257458,7.493926048,8.279719353,7.82942915,7.461741447,7.404794216,7.559115887,7.877007961,7.555856228,4.452274323,0.254897207,0,0,0,0,0
2/15/2016,2,15,0,0,0,0,0,0,0,0.032984752,2.722200155,7.495557308,8.279719353,7.850966454,7.461741447,7.404794216,7.559115887,7.877007961,7.555856228,4.47477293,0.272062927,0,0,0,0,0
2/16/2016,2,16,0,0,0,0,0,0,0,0.035961583,2.722200155,7.495557308,8.279719353,7.850966454,7.461741447,7.404794216,7.559115887,7.877007961,7.555856228,4.47477293,0.272062927,0,0,0,0,0
2/17/2016,2,17,0,0,0,0,0,0,0,0.039606735,2.940066338,7.647391319,8.39786911,7.983935356,7.584883213,7.457862377,7.661593914,7.997627735,7.721196175,4.748497963,0.339097142,0,0,0,0,0
2/18/2016,2,18,0,0,0,0,0,0,0,0.039870154,3.037513733,7.7374053,8.39786911,8.017521858,7.600473404,7.508194447,7.661593914,7.997627735,7.721196175,4.748497963,0.341345489,0,0,0,0,0
2/19/2016,2,19,0,0,0,0,0,0,0,0.050043754,3.093327761,7.7374053,8.39786911,8.031038284,7.690353394,7.561572552,7.661593914,7.997627735,7.721196175,4.748497963,0.341345489,0,0,0,0,0
