SUNE1,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/26/2016,1,26,0,0,0,0,0,0,0,0.00394147,1.861433029,6.733959675,7.314014435,6.944355488,6.555909634,6.468193054,6.832391739,7.097716808,6.777194023,2.800484896,0.021649236,0,0,0,0,0
1/27/2016,1,27,0,0,0,0,0,0,0,0.00394147,1.861433029,6.733959675,7.314014435,6.944355488,6.555909634,6.468193054,6.832391739,7.097716808,6.777194023,2.800484896,0.021649236,0,0,0,0,0
1/28/2016,1,28,0,0,0,0,0,0,0,0.00394147,1.861433029,6.733959675,7.314014435,6.944355488,6.555909634,6.468193054,6.832391739,7.097716808,6.850139618,2.882905006,0.045147114,0,0,0,0,0
1/29/2016,1,29,0,0,0,0,0,0,0,0.00394147,1.861433029,6.733959675,7.314014435,7.061739445,6.702654839,6.586228848,6.832391739,7.097716808,6.850139618,2.882905006,0.045147114,0,0,0,0,0
1/30/2016,1,30,0,0,0,0,0,0,0,0.00394147,2.307249308,6.733959675,7.314014435,7.061739445,6.702654839,6.586228848,6.832391739,7.097716808,6.850139618,2.882905006,0.045147114,0,0,0,0,0
1/31/2016,1,31,0,0,0,0,0,0,0,0.00394147,2.307249308,7.212881565,7.908752918,7.683683395,7.282839298,7.152644157,7.392644882,7.707636356,7.380044937,3.729478359,0.075640038,0,0,0,0,0
2/1/2016,2,1,0,0,0,0,0,0,0,0.006612332,2.307249308,7.212881565,7.908752918,7.683683395,7.282839298,7.152644157,7.392644882,7.707636356,7.380044937,3.729478359,0.075640038,0,0,0,0,0
2/2/2016,2,2,0,0,0,0,0,0,0,0.006612332,2.368083715,7.212881565,7.908752918,7.683683395,7.282839298,7.152644157,7.392644882,7.707636356,7.380044937,3.744497538,0.096668638,0,0,0,0,0
2/3/2016,2,3,0,0,0,0,0,0,0,0.014737708,2.368083715,7.301968098,7.908752918,7.683683395,7.282839298,7.152644157,7.392644882,7.707636356,7.380044937,3.744497538,0.109227203,0,0,0,0,0
2/4/2016,2,4,0,0,0,0,0,0,0,0.014737708,2.368083715,7.301968098,7.908752918,7.683683395,7.282839298,7.152644157,7.392644882,7.707636356,7.380044937,3.744497538,0.109227203,0,0,0,0,0
2/5/2016,2,5,0,0,0,0,0,0,0,0.015466243,2.368083715,7.301968098,7.908752918,7.683683395,7.282839298,7.152644157,7.392644882,7.707636356,7.380044937,3.744497538,0.109227203,0,0,0,0,0
2/6/2016,2,6,0,0,0,0,0,0,0,0.015466243,2.545530796,7.301968098,7.908752918,7.683683395,7.282839298,7.152644157,7.392644882,7.707636356,7.380044937,3.835420847,0.112904467,0,0,0,0,0
