SUNE5,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2016,1,1,0,0,0,0,0,0,0,0.000656812,1.355009794,5.539898872,7.121306419,6.509700775,6.255629063,6.172936916,6.316522121,6.851083279,5.60567522,1.164517879,0,0,0,0,0,0
1/2/2016,1,2,0,0,0,0,0,0,0,0.000656812,1.355009794,5.539898872,7.121306419,6.805459023,6.276282787,6.210000515,6.316522121,6.851083279,5.60567522,1.164517879,0,0,0,0,0,0
1/3/2016,1,3,0,0,0,0,0,0,0,0.000656812,1.355009794,5.539898872,7.121306419,6.805459023,6.276282787,6.210000515,6.316522121,6.851083279,5.60567522,1.164517879,0,0,0,0,0,0
1/4/2016,1,4,0,0,0,0,0,0,0,0.000656812,1.355009794,5.539898872,7.121306419,6.805459023,6.276282787,6.210000515,6.316522121,6.851083279,5.60567522,1.164517879,0,0,0,0,0,0
1/5/2016,1,5,0,0,0,0,0,0,0,0.000196421,1.355009794,5.37318325,7.121306419,6.805459023,6.276282787,6.210000515,6.316522121,6.851083279,5.60567522,1.164517879,0,0,0,0,0,0
1/6/2016,1,6,0,0,0,0,0,0,0,0.000196421,1.355009794,5.37318325,7.121306419,6.805459023,6.530536652,6.328125,6.613101006,6.874082565,5.60567522,1.164517879,0,0,0,0,0,0
1/7/2016,1,7,0,0,0,0,0,0,0,0.000969635,1.355009794,5.990911484,7.229641914,6.859826088,6.530536652,6.423053741,6.73477602,7.046498299,5.60567522,1.164517879,0,0,0,0,0,0
1/8/2016,1,8,0,0,0,0,0,0,0,0.000969635,1.323035002,5.990911484,7.229641914,6.859826088,6.530536652,6.423053741,6.772054195,7.046498299,5.60567522,1.164517879,0,0,0,0,0,0
1/9/2016,1,9,0,0,0,0,0,0,0,0.000969635,1.323035002,5.990911484,7.229641914,6.859826088,6.530536652,6.423053741,6.772054195,7.046498299,5.899856091,1.310600877,0,0,0,0,0,0
1/10/2016,1,10,0,0,0,0,0,0,0,0.000969635,1.323035002,5.990911484,7.229641914,6.859826088,6.530536652,6.423053741,6.772054195,7.046498299,5.899856091,1.310600877,0,0,0,0,0,0
1/11/2016,1,11,0,0,0,0,0,0,0,0.000969635,1.323035002,5.990911484,7.229641914,6.859826088,6.530536652,6.423053741,6.842801571,7.046498299,5.899856091,1.310600877,0.000530019,0,0,0,0,0
1/12/2016,1,12,0,0,0,0,0,0,0,0.000969635,1.323035002,5.990911484,7.229641914,6.859826088,6.530536652,6.423053741,6.842801571,7.046498299,5.899856091,1.527625442,0.000717383,0,0,0,0,0
1/13/2016,1,13,0,0,0,0,0,0,0,0.000969635,1.323035002,5.990911484,7.229641914,6.859826088,6.480108738,6.423053741,6.842801571,7.299239635,6.23801899,1.786598682,0.002146334,0,0,0,0,0
