Roswell,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/27/2016,1,27,0,0,0,0,0,0,0,0,10.53510229,46.24728255,54.01838071,52.30263688,49.28041596,47.84022607,49.79829145,52.22989163,48.65204119,18.89561599,0.070868377,0,0,0,0,0
1/28/2016,1,28,0,0,0,0,0,0,0,0.022996966,10.53510229,46.24728255,54.01838071,52.30263688,49.28041596,47.84022607,49.79829145,52.29941831,48.65204119,20.22994219,0.207275999,0,0,0,0,0
1/29/2016,1,29,0,0,0,0,0,0,0,0.022996966,10.53510229,46.24728255,53.84158399,51.86459886,49.16148575,48.65047107,49.74488252,52.29941831,48.65204119,20.22994219,0.207275999,0,0,0,0,0
1/30/2016,1,30,0,0,0,0,0,0,0,0.022996966,11.22988042,50.75003578,53.84158399,51.86459886,49.16148575,48.65047107,49.74488252,52.29941831,48.65204119,20.22994219,0.207275999,0,0,0,0,0
1/31/2016,1,31,0,0,0,0,0,0,0,0.022996966,12.97794251,50.75003578,58.5957982,56.38967909,53.33297967,52.4008992,54.23199153,56.78071326,53.70874702,25.14680426,0.412524261,0,0,0,0,0
2/1/2016,2,1,0,0,0,0,0,0,0,0.022996966,12.97794251,50.75003578,58.5957982,56.38967909,53.33297967,52.4008992,54.23199153,56.78071326,53.70874702,25.14680426,0.412524261,0,0,0,0,0
2/2/2016,2,2,0,0,0,0,0,0,0,0.022996966,13.06634354,50.75003578,58.5957982,56.38967909,53.33297967,52.4008992,54.23199153,56.78071326,53.70874702,25.25621763,0.52357635,0,0,0,0,0
2/3/2016,2,3,0,0,0,0,0,0,0,0.070689073,13.06634354,50.75003578,58.5957982,56.38967909,53.33297967,52.4008992,54.23199153,56.78071326,53.70874702,25.25621763,0.687111117,0,0,0,0,0
2/4/2016,2,4,0,0,0,0,0,0,0,0.070689073,13.06634354,50.75003578,58.5957982,56.38967909,53.33297967,52.4008992,54.23199153,56.78071326,53.70874702,25.25621763,0.687111117,0,0,0,0,0
2/5/2016,2,5,0,0,0,0,0,0,0,0.076925569,13.06634354,50.75003578,58.5957982,56.38967909,53.33297967,52.4008992,54.23199153,56.78071326,53.70874702,25.9123988,0.687111117,0,0,0,0,0
2/6/2016,2,6,0,0,0,0,0,0,0,0.076925569,14.45832618,50.26197473,58.5957982,56.38967909,53.33297967,52.4008992,54.23199153,56.78071326,53.70874702,26.02315444,0.779469376,0,0,0,0,0
2/7/2016,2,7,0,0,0,0,0,0,0,0.076925569,14.64377368,49.67540213,57.31823124,54.36734211,51.390765,50.71340681,52.19288526,54.59621975,51.88331922,26.02315444,0.779469376,0,0,0,0,0
2/8/2016,2,8,0,0,0,0,0,0,0,0.076925569,14.7915241,50.26647502,57.31823124,54.66760138,51.39767209,50.71340681,52.19288526,54.59621975,51.88331922,26.02315444,0.856888093,0,0,0,0,0
2/9/2016,2,9,0,0,0,0,0,0,0,0.150242868,14.7915241,50.26647502,57.31823124,54.66760138,51.39767209,50.71340681,52.12408846,54.59621975,50.35255737,26.02315444,1.142226169,0,0,0,0,0
2/10/2016,2,10,0,0,0,0,0,0,0,0.150242868,14.7915241,50.26647502,57.25818936,54.66760138,51.39767209,50.29523204,52.12408846,54.59621975,50.35255737,26.02315444,1.142226169,0,0,0,0,0
2/11/2016,2,11,0,0,0,0,0,0,0,0.150242868,17.10468984,50.26647502,57.25818936,54.66760138,55.29177849,51.43556855,54.41433172,56.40740968,54.28252014,26.02315444,1.168301567,0,0,0,0,0
2/12/2016,2,12,0,0,0,0,0,0,0,0.150242868,17.10468984,50.26647502,57.25818936,54.66760138,55.29177849,54.12795073,54.41433172,57.22430543,54.28252014,30.50746856,1.50014633,0,0,0,0,0
2/13/2016,2,13,0,0,0,0,0,0,0,0.150242868,17.10468984,55.9542437,61.821458,56.74529481,55.70495096,54.87661934,54.41433172,57.22430543,54.28252014,33.24340818,1.727705413,0,0,0,0,0
2/14/2016,2,14,0,0,0,0,0,0,0,0.246284369,20.24390947,55.9542437,61.821458,58.45931543,55.71393374,55.28873082,56.44099098,58.81456799,56.41665237,33.24340818,1.903218733,0,0,0,0,0
2/15/2016,2,15,0,0,0,0,0,0,0,0.246284369,20.32561436,55.96642368,61.821458,58.62012614,55.71393374,55.28873082,56.44099098,58.81456799,56.41665237,33.41139656,2.031388517,0,0,0,0,0
2/16/2016,2,16,0,0,0,0,0,0,0,0.268511214,20.32561436,55.96642368,61.821458,58.62012614,55.71393374,55.28873082,56.44099098,58.81456799,56.41665237,33.41139656,2.031388517,0,0,0,0,0
2/17/2016,2,17,0,0,0,0,0,0,0,0.295728152,21.95233677,57.10010944,62.70363648,59.61295344,56.63338562,55.68497023,57.20615472,59.71518913,57.65118172,35.45519538,2.53190704,0,0,0,0,0
