,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6
0,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1,0.0,0.76,0.79,0.85,0.73,0.48,0.46,0.0,0.76,0.79,0.85,0.73,0.48,0.46,0.0,0.76,0.79,0.85,0.73,0.48,0.46,0.0,0.76,0.79,0.85,0.73,0.48,0.46,0.0,0.76,0.79,0.85,0.73,0.48,0.46,0.0,0.4,0.335,0.395,0.245,0.35,0.455,0.0,0.64,0.605,0.5,0.23,0.265,0.355,0.0,4.84,4.890000000000001,5.145,4.125,3.015,3.1100000000000003
2,0.0,0.73,0.79,0.86,0.73,0.48,0.46,0.0,0.73,0.79,0.86,0.73,0.48,0.46,0.0,0.73,0.79,0.86,0.73,0.48,0.46,0.0,0.73,0.79,0.86,0.73,0.48,0.46,0.0,0.73,0.79,0.86,0.73,0.48,0.46,0.0,0.38,0.36,0.28,0.17,0.28,0.37,0.0,0.63,0.65,0.4,0.16,0.25,0.33,0.0,4.66,4.960000000000001,4.98,3.98,2.9299999999999997,3.0000000000000004
3,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.37,0.25,0.25,0.155,0.245,0.325,0.0,0.63,0.655,0.38,0.16,0.235,0.295,0.0,4.6499999999999995,4.855,4.93,3.465,2.805,2.695
4,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.37,0.25,0.25,0.155,0.245,0.325,0.0,0.63,0.655,0.38,0.16,0.235,0.295,0.0,4.6499999999999995,4.855,4.93,3.465,2.805,2.695
5,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.73,0.79,0.86,0.63,0.465,0.415,0.0,0.37,0.14,0.25,0.155,0.245,0.325,0.0,0.62,0.66,0.38,0.16,0.235,0.295,0.0,4.64,4.75,4.93,3.465,2.805,2.695
6,0.0,0.73,0.825,0.86,0.63,0.465,0.415,0.0,0.73,0.825,0.86,0.63,0.465,0.415,0.0,0.73,0.825,0.86,0.63,0.465,0.415,0.0,0.73,0.825,0.86,0.63,0.465,0.415,0.0,0.73,0.825,0.86,0.63,0.465,0.415,0.0,0.38,0.27,0.25,0.155,0.245,0.325,0.0,0.63,0.62,0.38,0.16,0.235,0.295,0.0,4.66,5.015,4.93,3.465,2.805,2.695
7,0.86,0.73,0.825,0.86,0.63,0.465,0.415,0.86,0.73,0.825,0.86,0.63,0.465,0.415,0.86,0.73,0.825,0.86,0.63,0.465,0.415,0.86,0.73,0.825,0.86,0.63,0.465,0.415,0.86,0.73,0.825,0.86,0.63,0.465,0.415,0.48,0.38,0.27,0.25,0.155,0.245,0.325,0.51,0.63,0.62,0.38,0.16,0.235,0.295,5.289999999999999,4.66,5.015,4.93,3.465,2.805,2.695
8,0.8,0.68,0.86,0.86,0.53,0.45,0.37,0.8,0.68,0.86,0.86,0.53,0.45,0.37,0.8,0.68,0.86,0.86,0.53,0.45,0.37,0.8,0.68,0.86,0.86,0.53,0.45,0.37,0.8,0.68,0.86,0.86,0.53,0.45,0.37,0.45,0.38,0.4,0.22,0.14,0.21,0.28,0.5,0.63,0.58,0.36,0.16,0.22,0.26,4.95,4.41,5.28,4.88,2.9500000000000006,2.68,2.3899999999999997
