,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6
0,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17,6.0,6.0,6.0,6.0,6.0,6.0,6.0
12,0.48,0.4,0.29,0.25,0.175,0.26,0.33,0.48,0.4,0.29,0.25,0.175,0.26,0.33,0.48,0.4,0.29,0.25,0.175,0.26,0.33,0.48,0.4,0.29,0.25,0.175,0.26,0.33,0.48,0.4,0.29,0.25,0.175,0.26,0.33,0.54,0.65,0.61,0.35,0.19,0.26,0.3,2.94,2.65,2.06,1.6,1.065,1.56,1.9500000000000002
13,0.46,0.44,0.42,0.28,0.21,0.31,0.38,0.46,0.44,0.42,0.28,0.21,0.31,0.38,0.46,0.44,0.42,0.28,0.21,0.31,0.38,0.46,0.44,0.42,0.28,0.21,0.31,0.38,0.46,0.44,0.42,0.28,0.21,0.31,0.38,0.54,0.65,0.58,0.34,0.22,0.3,0.34,2.8400000000000003,2.85,2.68,1.7400000000000002,1.27,1.85,2.2399999999999998
14,0.43,0.45,0.405,0.3,0.315,0.425,0.505,0.43,0.45,0.405,0.3,0.315,0.425,0.505,0.43,0.45,0.405,0.3,0.315,0.425,0.505,0.43,0.45,0.405,0.3,0.315,0.425,0.505,0.43,0.45,0.405,0.3,0.315,0.425,0.505,0.54,0.64,0.625,0.32,0.25,0.34,0.395,2.69,2.89,2.6500000000000004,1.82,1.825,2.465,2.92
15,0.45,0.46,0.405,0.3,0.315,0.425,0.505,0.45,0.46,0.405,0.3,0.315,0.425,0.505,0.45,0.46,0.405,0.3,0.315,0.425,0.505,0.45,0.46,0.405,0.3,0.315,0.425,0.505,0.45,0.46,0.405,0.3,0.315,0.425,0.505,0.57,0.63,0.625,0.32,0.25,0.34,0.395,2.82,2.93,2.6500000000000004,1.82,1.825,2.465,2.92
16,0.46,0.46,0.39,0.3,0.315,0.425,0.505,0.46,0.46,0.39,0.3,0.315,0.425,0.505,0.46,0.46,0.39,0.3,0.315,0.425,0.505,0.46,0.46,0.39,0.3,0.315,0.425,0.505,0.46,0.46,0.39,0.3,0.315,0.425,0.505,0.59,0.62,0.67,0.32,0.25,0.34,0.395,2.89,2.9200000000000004,2.62,1.82,1.825,2.465,2.92
17,0.48,0.49,0.45,0.3,0.315,0.425,0.505,0.48,0.49,0.45,0.3,0.315,0.425,0.505,0.48,0.49,0.45,0.3,0.315,0.425,0.505,0.48,0.49,0.45,0.3,0.315,0.425,0.505,0.48,0.49,0.45,0.3,0.315,0.425,0.505,0.61,0.68,0.635,0.32,0.25,0.34,0.395,3.01,3.1300000000000003,2.885,1.82,1.825,2.465,2.92
18,0.49,0.51,0.45,0.3,0.315,0.425,0.505,0.49,0.51,0.45,0.3,0.315,0.425,0.505,0.49,0.51,0.45,0.3,0.315,0.425,0.505,0.49,0.51,0.45,0.3,0.315,0.425,0.505,0.49,0.51,0.45,0.3,0.315,0.425,0.505,0.64,0.74,0.635,0.32,0.25,0.34,0.395,3.0900000000000003,3.29,2.885,1.82,1.825,2.465,2.92
19,0.51,0.53,0.51,0.32,0.42,0.54,0.63,0.51,0.53,0.51,0.32,0.42,0.54,0.63,0.51,0.53,0.51,0.32,0.42,0.54,0.63,0.51,0.53,0.51,0.32,0.42,0.54,0.63,0.51,0.53,0.51,0.32,0.42,0.54,0.63,0.66,0.8,0.6,0.3,0.28,0.38,0.45,3.21,3.45,3.15,1.9000000000000001,2.38,3.08,3.6
20,0.49,0.42,0.395,0.245,0.35,0.455,0.0,0.49,0.42,0.395,0.245,0.35,0.455,0.0,0.49,0.42,0.395,0.245,0.35,0.455,0.0,0.49,0.42,0.395,0.245,0.35,0.455,0.0,0.49,0.42,0.395,0.245,0.35,0.455,0.0,0.68,0.68,0.5,0.23,0.265,0.355,0.0,3.1300000000000003,2.7800000000000002,2.475,1.455,2.015,2.63,0.0
21,0.47,0.42,0.395,0.245,0.35,0.455,0.0,0.47,0.42,0.395,0.245,0.35,0.455,0.0,0.47,0.42,0.395,0.245,0.35,0.455,0.0,0.47,0.42,0.395,0.245,0.35,0.455,0.0,0.47,0.42,0.395,0.245,0.35,0.455,0.0,0.67,0.68,0.5,0.23,0.265,0.355,0.0,3.0199999999999996,2.7800000000000002,2.475,1.455,2.015,2.63,0.0
